timestamp,vm_id,host_id,cpu_demand,ram_demand,status
2025-06-01 00:00:00,vm_0,17,2.64,5.63,idle
2025-06-01 00:00:00,vm_1,18,2.68,2.96,off
2025-06-01 00:00:00,vm_2,13,1.58,2.37,active
2025-06-01 00:00:00,vm_3,1,4.31,5.68,idle
2025-06-01 00:00:00,vm_4,1,3.78,6.02,active
2025-06-01 00:00:00,vm_5,9,2.59,5.72,active
2025-06-01 00:00:00,vm_6,2,1.96,3.8,active
2025-06-01 00:00:00,vm_7,9,0.84,1.23,active
2025-06-01 00:00:00,vm_8,4,2.6,6.54,idle
2025-06-01 00:00:00,vm_9,6,2.68,3.09,active
2025-06-01 00:00:00,vm_10,16,3.74,7.51,active
2025-06-01 00:00:00,vm_11,7,2.64,1.26,active
2025-06-01 00:00:00,vm_12,12,4.34,1.66,active
2025-06-01 00:00:00,vm_13,15,1.41,6.33,active
2025-06-01 00:00:00,vm_14,7,0.5,5.87,idle
2025-06-01 00:00:00,vm_15,12,1.35,3.43,idle
2025-06-01 00:00:00,vm_16,2,1.48,4.31,active
2025-06-01 00:00:00,vm_17,7,2.37,3.51,off
2025-06-01 00:00:00,vm_18,18,2.61,3.74,active
2025-06-01 00:00:00,vm_19,5,1.69,11.24,off
2025-06-01 00:00:00,vm_20,13,2.9,1.0,active
2025-06-01 00:00:00,vm_21,9,2.31,7.28,active
2025-06-01 00:00:00,vm_22,6,2.57,2.47,active
2025-06-01 00:00:00,vm_23,3,0.68,2.27,idle
2025-06-01 00:00:00,vm_24,4,3.24,4.53,active
2025-06-01 00:00:00,vm_25,17,3.48,5.16,off
2025-06-01 00:00:00,vm_26,10,0.97,4.86,active
2025-06-01 00:00:00,vm_27,2,3.18,3.75,active
2025-06-01 00:00:00,vm_28,4,3.26,2.99,off
2025-06-01 00:00:00,vm_29,17,3.63,6.03,idle
2025-06-01 00:00:00,vm_30,19,1.09,2.59,active
2025-06-01 00:00:00,vm_31,9,2.05,3.03,idle
2025-06-01 00:00:00,vm_32,16,2.51,1.0,active
2025-06-01 00:00:00,vm_33,8,2.85,3.71,idle
2025-06-01 00:00:00,vm_34,8,2.76,1.09,idle
2025-06-01 00:00:00,vm_35,6,2.26,1.36,idle
2025-06-01 00:00:00,vm_36,19,3.21,4.0,idle
2025-06-01 00:00:00,vm_37,9,1.46,1.25,idle
2025-06-01 00:00:00,vm_38,12,2.59,1.0,active
2025-06-01 00:00:00,vm_39,11,2.57,5.87,active
2025-06-01 00:00:00,vm_40,11,2.31,4.1,idle
2025-06-01 00:00:00,vm_41,2,2.5,2.43,off
2025-06-01 00:00:00,vm_42,5,2.51,2.53,active
2025-06-01 00:00:00,vm_43,6,3.27,6.44,active
2025-06-01 00:00:00,vm_44,10,3.86,5.89,active
2025-06-01 00:00:00,vm_45,12,2.75,4.7,off
2025-06-01 00:00:00,vm_46,11,2.35,2.64,active
2025-06-01 00:00:00,vm_47,10,1.16,2.65,active
2025-06-01 00:00:00,vm_48,11,2.98,5.35,active
2025-06-01 00:00:00,vm_49,0,2.2,3.7,idle
2025-06-01 00:00:00,vm_50,7,2.14,6.25,idle
2025-06-01 00:00:00,vm_51,13,2.55,4.44,active
2025-06-01 00:00:00,vm_52,14,1.92,1.0,off
2025-06-01 00:00:00,vm_53,15,1.23,1.94,active
2025-06-01 00:00:00,vm_54,0,3.54,1.93,active
2025-06-01 00:00:00,vm_55,8,2.04,2.73,active
2025-06-01 00:00:00,vm_56,7,3.15,4.07,active
2025-06-01 00:00:00,vm_57,3,3.46,3.75,active
2025-06-01 00:00:00,vm_58,13,1.64,1.89,active
2025-06-01 00:00:00,vm_59,11,2.74,4.91,active
2025-06-01 00:00:00,vm_60,8,3.63,7.44,active
2025-06-01 00:00:00,vm_61,4,3.66,4.48,active
2025-06-01 00:00:00,vm_62,0,1.39,3.44,active
2025-06-01 00:00:00,vm_63,0,2.66,4.74,active
2025-06-01 00:00:00,vm_64,7,2.55,3.59,off
2025-06-01 00:00:00,vm_65,7,2.64,5.73,active
2025-06-01 00:00:00,vm_66,6,2.73,3.95,active
2025-06-01 00:00:00,vm_67,8,1.57,3.49,idle
2025-06-01 00:00:00,vm_68,14,1.71,5.34,active
2025-06-01 00:00:00,vm_69,13,3.16,4.4,active
2025-06-01 00:00:00,vm_70,2,3.19,5.41,active
2025-06-01 00:00:00,vm_71,7,2.92,4.08,off
2025-06-01 00:00:00,vm_72,7,1.81,5.53,active
2025-06-01 00:00:00,vm_73,9,2.52,6.73,active
2025-06-01 00:00:00,vm_74,14,1.63,3.79,active
2025-06-01 00:00:00,vm_75,2,2.26,3.97,active
2025-06-01 00:00:00,vm_76,10,2.98,4.52,off
2025-06-01 00:00:00,vm_77,16,1.94,6.81,active
2025-06-01 00:00:00,vm_78,14,2.82,3.93,idle
2025-06-01 00:00:00,vm_79,6,3.4,3.33,active
2025-06-01 00:00:00,vm_80,6,2.85,4.34,active
2025-06-01 00:00:00,vm_81,9,2.28,6.42,active
2025-06-01 00:00:00,vm_82,2,1.99,6.45,idle
2025-06-01 00:00:00,vm_83,2,2.26,4.87,off
2025-06-01 00:00:00,vm_84,9,2.32,5.5,active
2025-06-01 00:00:00,vm_85,8,1.42,1.0,active
2025-06-01 00:00:00,vm_86,0,2.93,6.1,active
2025-06-01 00:00:00,vm_87,2,2.76,7.03,active
2025-06-01 00:00:00,vm_88,10,1.65,9.91,active
2025-06-01 00:00:00,vm_89,4,1.33,3.02,active
2025-06-01 00:00:00,vm_90,11,1.18,1.87,idle
2025-06-01 00:00:00,vm_91,14,3.48,2.48,idle
2025-06-01 00:00:00,vm_92,2,1.74,4.37,active
2025-06-01 00:00:00,vm_93,9,1.79,5.6,idle
2025-06-01 00:00:00,vm_94,14,0.57,1.66,idle
2025-06-01 00:00:00,vm_95,15,1.23,3.21,active
2025-06-01 00:00:00,vm_96,0,1.96,7.04,active
2025-06-01 00:00:00,vm_97,1,4.26,5.81,active
2025-06-01 00:00:00,vm_98,9,1.42,4.15,active
2025-06-01 00:00:00,vm_99,8,2.05,4.23,active
2025-06-01 01:00:00,vm_0,17,0.99,3.6,active
2025-06-01 01:00:00,vm_1,18,1.33,3.9,active
2025-06-01 01:00:00,vm_2,13,2.15,4.69,active
2025-06-01 01:00:00,vm_3,1,2.03,2.29,active
2025-06-01 01:00:00,vm_4,1,2.8,2.98,idle
2025-06-01 01:00:00,vm_5,9,2.74,1.96,active
